species,pop,seed.wt
bh,6,0.157
bh,3,0.14
bh,11,0.158
bh,13,0.192
bh,15,0.1405
bh,18,0.159
bh,25,0.148
bh,S2,0.175
vm,6,0.0528
vm,3,0.05
vm,11,0.07
vm,13,0.0494
vm,15,0.046
vm,18,0.0361
vm,25,0.0534
vm,S2,0.049
vm,19,0.0387
vm,20,0.043
vm,5,0.0504
vm,16,0.0481
vm,10,0.0465
vm,17,0.046
vm,S31,0.0497
vm,26,0.0655
vm,29,0.0684
vm,27,0.078
vm,4,0.049
vm,2,0.037
vm,23,0.0411
vm,9,0.0538
vm,S33,0.0462
bh,6,0.15
bh,3,0.149
bh,11,0.152
bh,13,0.19
bh,15,0.1386
bh,18,0.158
bh,25,0.15
bh,S2,0.173
vm,6,0.0528
vm,3,0.051
vm,11,0.065
vm,13,0.0439
vm,15,0.049
vm,18,0.0409
vm,25,0.0553
vm,S2,0.045
vm,19,0.0404
vm,20,0.04
vm,5,0.0536
vm,16,0.0428
vm,10,0.0448
vm,17,0.048
vm,S31,0.0504
vm,26,0.0645
vm,29,0.0697
vm,27,0.0755
vm,4,0.051
vm,2,0.0442
vm,23,0.0427
vm,9,0.049
vm,S33,0.0444
bh,6,0.168
bh,3,0.14
bh,11,0.142
bh,13,0.201
bh,15,0.1432
bh,18,0.155
bh,25,0.148
bh,S2,0.172
vm,6,0.0513
vm,3,0.052
vm,11,0.066
vm,13,0.0461
vm,15,0.04
vm,18,0.0361
vm,25,0.0542
vm,S2,0.047
vm,19,0.042
vm,20,0.038
vm,5,0.0569
vm,16,0.042
vm,10,0.0493
vm,17,0.045
vm,S31,0.0502
vm,26,0.0605
vm,29,0.0732
vm,27,0.0795
vm,4,0.047
vm,2,0.0381
vm,23,0.0448
vm,9,0.0646
vm,S33,0.0464
bh,6,0.171
bh,3,0.145
bh,11,0.14
bh,13,0.192
bh,15,0.1467
bh,18,0.156
bh,25,0.143
bh,S2,0.166
vm,6,0.0448
vm,3,0.051
vm,11,0.064
vm,13,0.0436
vm,15,0.044
vm,18,0.0335
vm,25,0.0514
vm,S2,0.048
vm,19,0.0431
vm,20,0.042
vm,5,0.0497
vm,16,0.0341
vm,10,0.0515
vm,17,0.038
vm,S31,0.0562
vm,26,0.0637
vm,29,0.086
vm,27,0.0739
vm,4,0.049
vm,2,0.0398
vm,23,0.046
vm,9,0.066
vm,S33,0.0428
bh,6,0.162
bh,3,0.136
bh,11,0.157
bh,13,0.203
bh,15,0.1398
bh,18,0.155
bh,25,0.145
bh,S2,0.174
vm,6,0.0491
vm,3,0.05
vm,11,0.066
vm,13,0.0453
vm,15,0.042
vm,18,0.029
vm,25,0.0544
vm,S2,0.048
vm,19,0.0475
vm,20,0.04
vm,5,0.0569
vm,16,0.0363
vm,10,0.0469
vm,17,0.037
vm,S31,0.0496
vm,26,0.0582
vm,29,0.0693
vm,27,0.0782
vm,4,0.049
vm,2,0.0413
vm,23,0.0453
vm,9,0.0598
vm,S33,0.0494
